id,x,y,theta
0,160.98226928710938,180.32363891601562,0.8492916822433471
1,174.1023406982422,195.77484130859375,0.8534090518951416
2,188.22581481933594,197.2708282470703,-0.6999931335449219
3,215.23367309570312,174.45040893554688,-0.7142863869667054
4,224.79034423828125,166.2262725830078,-0.7166637182235718
5,252.27195739746094,142.80128479003906,-0.700003981590271
6,258.1718444824219,137.8319549560547,-0.7000000476837157
7,275.213623046875,123.39177703857422,-0.6999949812889098
8,281.6783752441406,117.94644165039062,-0.6999868750572203
9,298.7179870605469,103.50247192382812,-0.7050046324729919
10,304.43963623046875,98.56415557861328,-0.7049894332885742
11,308.7133483886719,94.96273040771484,-0.7050046324729919
12,307.7983093261719,83.60740661621094,-2.275810956954956
13,281.9908447265625,53.25844192504883,-2.256913185119629
14,243.4154815673828,7.785144329071045,-2.275794744491577
15,232.4044647216797,6.8070573806762695,2.4316012859344482
16,208.36940002441406,27.33083724975586,2.431589365005493
17,204.0643310546875,31.12150764465332,2.4430832862854004
18,184.50315856933594,47.7365608215332,2.4315993785858154
19,180.78512573242188,50.862945556640625,2.4315929412841797
20,112.56388854980469,108.82215118408203,2.44492769241333
21,109.7236328125,119.94845581054688,0.8607975840568542
22,158.7928924560547,177.5852813720703,0.8729934096336364
