id,x,y,theta
1,160.98226928710938,180.32363891601562,0.8492916822433471
2,161.04722013567934,180.40013001696897,0.8493120652614252
3,161.1121709842493,180.47662111792235,0.8493324482795035
4,161.17712183281927,180.5531122188757,0.8493528312975817
5,161.24207268138923,180.62960331982904,0.8493732143156598
6,161.3070235299592,180.70609442078242,0.849393597333738
7,161.37197437852916,180.78258552173577,0.8494139803518163
8,161.43692522709912,180.85907662268912,0.8494343633698944
9,161.5018760756691,180.9355677236425,0.8494547463879726
10,161.56682692423905,181.01205882459584,0.8494751294060507
11,161.63177777280902,181.0885499255492,0.849495512424129
12,161.69672862137898,181.16504102650256,0.8495158954422072
13,161.76167946994894,181.2415321274559,0.8495362784602853
14,161.8266303185189,181.31802322840926,0.8495566614783635
15,161.89158116708887,181.39451432936264,0.8495770444964418
16,161.95653201565884,181.47100543031598,0.8495974275145199
17,162.0214828642288,181.54749653126933,0.8496178105325981
18,162.08643371279877,181.6239876322227,0.8496381935506763
19,162.15138456136873,181.70047873317606,0.8496585765687545
20,162.2163354099387,181.7769698341294,0.8496789595868327
21,162.28128625850866,181.85346093508278,0.8496993426049109
22,162.34623710707862,181.92995203603613,0.849719725622989
23,162.4111879556486,182.00644313698947,0.8497401086410673
24,162.47613880421855,182.08293423794285,0.8497604916591455
25,162.54108965278851,182.1594253388962,0.8497808746772236
26,162.60604050135848,182.23591643984955,0.8498012576953018
27,162.67099134992844,182.3124075408029,0.8498216407133801
28,162.7359421984984,182.38889864175627,0.8498420237314582
29,162.80089304706837,182.46538974270962,0.8498624067495364
30,162.86584389563833,182.54188084366297,0.8498827897676146
31,162.9307947442083,182.61837194461634,0.8499031727856928
32,162.99574559277826,182.6948630455697,0.849923555803771
33,163.06069644134823,182.77135414652304,0.8499439388218492
34,163.1256472899182,182.8478452474764,0.8499643218399273
35,163.19059813848816,182.92433634842976,0.8499847048580056
36,163.25554898705812,183.0008274493831,0.8500050878760838
37,163.32049983562808,183.07731855033649,0.8500254708941619
38,163.38545068419805,183.15380965128983,0.8500458539122401
39,163.450401532768,183.23030075224318,0.8500662369303184
40,163.51535238133798,183.30679185319656,0.8500866199483965
41,163.58030322990794,183.3832829541499,0.8501070029664747
42,163.6452540784779,183.45977405510325,0.8501273859845528
43,163.71020492704787,183.53626515605663,0.8501477690026311
44,163.77515577561783,183.61275625700998,0.8501681520207093
45,163.8401066241878,183.68924735796332,0.8501885350387874
46,163.90505747275776,183.7657384589167,0.8502089180568656
47,163.97000832132773,183.84222955987005,0.8502293010749439
48,164.0349591698977,183.9187206608234,0.850249684093022
49,164.09991001846765,183.99521176177677,0.8502700671111002
50,164.16486086703762,184.07170286273012,0.8502904501291784
51,164.22981171560758,184.14819396368347,0.8503108331472566
52,164.29476256417757,184.22468506463684,0.8503312161653348
53,164.35971341274754,184.3011761655902,0.850351599183413
54,164.4246642613175,184.37766726654354,0.8503719822014911
55,164.48961510988747,184.45415836749692,0.8503923652195694
56,164.55456595845743,184.53064946845026,0.8504127482376476
57,164.6195168070274,184.6071405694036,0.8504331312557257
58,164.68446765559736,184.683631670357,0.8504535142738039
59,164.74941850416732,184.76012277131034,0.8504738972918822
60,164.8143693527373,184.83661387226368,0.8504942803099603
61,164.87932020130725,184.91310497321706,0.8505146633280385
62,164.94427104987722,184.9895960741704,0.8505350463461167
63,165.00922189844718,185.06608717512376,0.8505554293641949
64,165.07417274701714,185.14257827607713,0.8505758123822731
65,165.1391235955871,185.21906937703048,0.8505961954003513
66,165.20407444415707,185.29556047798383,0.8506165784184294
67,165.26902529272704,185.3720515789372,0.8506369614365077
68,165.333976141297,185.44854267989055,0.8506573444545859
69,165.39892698986696,185.5250337808439,0.850677727472664
70,165.46387783843693,185.60152488179727,0.8506981104907422
71,165.5288286870069,185.67801598275062,0.8507184935088205
72,165.59377953557686,185.75450708370397,0.8507388765268986
73,165.65873038414682,185.83099818465735,0.8507592595449768
74,165.72368123271679,185.9074892856107,0.8507796425630549
75,165.78863208128675,185.98398038656404,0.8508000255811332
76,165.8535829298567,186.06047148751742,0.8508204085992114
77,165.91853377842668,186.13696258847077,0.8508407916172895
78,165.98348462699664,186.2134536894241,0.8508611746353677
79,166.0484354755666,186.2899447903775,0.850881557653446
80,166.11338632413657,186.36643589133084,0.8509019406715241
81,166.17833717270653,186.44292699228419,0.8509223236896023
82,166.2432880212765,186.51941809323753,0.8509427067076805
83,166.30823886984646,186.5959091941909,0.8509630897257587
84,166.37318971841643,186.67240029514426,0.8509834727438369
85,166.4381405669864,186.7488913960976,0.8510038557619151
86,166.50309141555636,186.82538249705098,0.8510242387799932
87,166.56804226412632,186.90187359800433,0.8510446217980715
88,166.63299311269628,186.97836469895768,0.8510650048161497
89,166.69794396126625,187.05485579991105,0.8510853878342278
90,166.7628948098362,187.1313469008644,0.851105770852306
91,166.82784565840618,187.20783800181775,0.8511261538703843
92,166.89279650697614,187.28432910277112,0.8511465368884624
93,166.9577473555461,187.36082020372447,0.8511669199065406
94,167.02269820411607,187.43731130467782,0.8511873029246187
95,167.08764905268603,187.5138024056312,0.851207685942697
96,167.152599901256,187.59029350658454,0.8512280689607752
97,167.21755074982596,187.6667846075379,0.8512484519788533
98,167.28250159839592,187.74327570849127,0.8512688349969315
99,167.3474524469659,187.81976680944462,0.8512892180150098
100,167.41240329553585,187.89625791039796,0.851309601033088
101,167.47735414410582,187.97274901135134,0.8513299840511661
102,167.54230499267578,188.0492401123047,0.8513503670692444
103,167.60725584124575,188.12573121325804,0.8513707500873225
